Company Ticker,Outcome,Disruptor,Moat,CEO,USBased,TAM,MarketShare,Usage,PriorRevGrowth,FutureRevGrowth,EarningsGrowth,SizeAndTime,InternationalOpp,Expert,TipsRank,RuleBreaker,GrowthPS,FounderStake,InstStake,Phase,ShortInterest
SE,1,1,0.5,1,0.5,1,1,0,1,1,1,1,0.5,1,0,1,1,1,1,1,0.5
LVGO,1,1,0.5,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0.5
TENB,1,0,0.5,1,1,0,0,0,0.5,0.5,0.5,1,0.5,1,1,0,1,1,1,1,1
FTCH,1,1,0.5,1,1,1,0,0,1,0.5,0.5,1,0.5,0.5,0,0,2,1,1,1,0.5
SDC,1,1,1,1,1,1,0,0,1,0.5,1,1,1,0.5,0.5,0,2,1,1,2,0.5
PLUG,1,0.5,0.5,1,1,0.5,2,0.5,1,0.5,0.5,0.5,1,1,0.5,0,1,0,1,1,0
ADBE,0,1,1,1,1,0.5,1,1,1,1,0.5,1,1,1,0,0,0,1,1,0,0.5
VISA,0,1,0.5,1,1,1,0,0,0.5,0.5,1,0,1,0.5,0,0,1,1,1,1,0
NVTA,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,2,0,1,1,0
TSLA,1,1,1,1,1,2,2,1,1,0.5,1,1,0.5,0.5,0,1,0,1,0.5,0,0
CRSP,1,1,1,1,1,2,2,0,1,0.5,0,0,1,1,0,0,0,1,1,0,0
TTD,1,1,0,1,1,1,2,0,0.5,0.5,1,1,1,1,0,1,0,0,1,0,0.5
UBER,1,1,1,1,1,1,2,1,0,1,0,0.5,1,1,0.5,1,0,0,1,0,0.5
NVDA,1,1,1,1,1,0.5,2,1,0,0.5,1,1,1,1,0.5,0,0,0,1,0,0.5
BNGO,1,1,1,1,1,1,1,0,0.5,1,0,0,1,1,0,0,0,0,0,1,0
TOL,0,0,1,1,1,0,1,1,0,0,0,1,0,1,0.5,0,0,1,1,0,0.5
QS,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
ALB,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,1
CCL,0,0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0.5
COST,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0.5,0,0,0,1,0,1
BYND,1,1,1,1,1,1,1,1,1,1,1,0.5,1,1,0,1,0,1,0.5,0,0
BABA,0,1,1,1,0,0.5,1,0,1,1,1,0.5,1,1,1,0,1,0,0,0,1
ZS,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1
PGNY,1,1,1,0,1,1,1,1,1,1,1,0.5,0,0,0,0,0,1,1,1,0.5
NIO,1,1,1,1,0,1,1,0,1,1,1,0.5,1,1,0.5,0,2,0,0,1,0.5
CLOV,0,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,2,1,0,1,0
BNTX,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,1
FSLY,1,1,1,1,1,1,0,1,0.5,0.5,0,0.5,1,1,0,1,1,0,1,1,0
IRBT,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,1,0
DIS,0,1,1,1,1,0,1,1,0,1,0,1,1,0,0.5,0,0,0,1,0,1